Date Announced,Duration_Effective,Dummy_Effective,Date Effective,Duration_Unconditional,Duration_diff,Dummy_Unconditional,Date Effective/Unconditional,Target Name,Target Nation,Acquiror Name,Acquiror Nation,Status,ROCE,Tobin's Q,IDDummy,Firm Size,Tangibility
7/1/00,70,1,17/3/00,42,28,1,18/2/00,Univak PLC,United Kingdom,Ferraris Group PLC,United Kingdom,Completed,0.011730263,1.658,0,16.26651566,0.186982759
12/1/00,37,1,18/2/00,37,0,1,18/2/00,Best Software Inc,United States,Sage Group PLC,United Kingdom,Completed,0.036074,6.279,1,18.26168501,0.393505275
13/1/00,22,1,4/2/00,8,14,1,21/1/00,Moorepay Group PLC,United Kingdom,Rebus Group Ltd,United Kingdom,Completed,0.020260417,6.995,1,16.20427335,0.235137615
13/1/00,180,1,11/7/00,154,26,1,15/6/00,Racal Electronics PLC,United Kingdom,Thomson-CSF,France,Completed,0.02160954,2.955,0,21.31504452,0.197543161
24/1/00,46,1,10/3/00,39,7,1,3/3/00,BTP PLC,United Kingdom,Clariant AG,Switzerland,Completed,0.038191698,2.426,1,20.60886458,0.120417087
25/1/00,59,1,24/3/00,31,28,1,25/2/00,Hidden Hearing Intl Plc,United Kingdom,Demant A/S,Denmark,Completed,0.0091849,1.817,0,17.26866768,0.218291139
27/1/00,-36552,0,,-36552,0,0,,Critchley Group PLC,United Kingdom,Brady Corp,United States,Withdrawn,0.023584098,2.031,0,18.37777324,0.262693111
27/1/00,117,1,23/5/00,83,34,1,19/4/00,Flextech PLC,United Kingdom,Telewest Communications PLC,United Kingdom,Completed,0.006166934,16.292,0,19.63885227,0.279023957
28/1/00,46,1,14/3/00,24,22,1,21/2/00,Real Time Control PLC,United Kingdom,NSB Retail Systems PLC,United Kingdom,Completed,0.030695876,3.761,0,17.26231845,0.371974522
28/1/00,54,1,22/3/00,25,29,1,22/2/00,Semara Holdings PLC,United Kingdom,Johnson Service Group PLC,United Kingdom,Completed,0.016090719,3.714,1,18.73403056,0.119283626
1/2/00,-36557,0,,-36557,0,0,,Blue Circle Industries PLC,United Kingdom,Lafarge SA,France,Withdrawn,0.033259859,1.494,1,22.4434756,0.281576168
14/2/00,135,1,28/6/00,52,83,1,6/4/00,Critchley Group PLC,United Kingdom,Tyco International Ltd,Bermuda,Completed,0.023584098,2.031,0,18.37777324,0.262693111
17/2/00,57,1,14/4/00,26,31,1,14/3/00,Meristem PLC,United Kingdom,Torday & Carlisle PLC,United Kingdom,Completed,0.011427692,0.576,0,17.64632351,0.265010846
21/2/00,114,1,14/6/00,73,41,1,4/5/00,NFC PLC,United Kingdom,Ocean Group PLC,United Kingdom,Completed,0.00720369,5.345,1,21.45798673,0.138327977
21/2/00,74,1,5/5/00,74,0,1,5/5/00,Travel Services International,United States,Airtours PLC,United Kingdom,Completed,0.009695612,1.197,1,19.26009043,0.087904968
23/2/00,82,1,15/5/00,82,0,1,15/5/00,Everest Medical Corp,United States,Gyrus Group PLC,United Kingdom,Completed,0.014788462,14.485,1,15.40474576,0.364693878
2/3/00,63,1,4/5/00,32,31,1,3/4/00,City Technology Holdings PLC,United Kingdom,First Technology PLC,United Kingdom,Completed,0.063052,9.658,0,16.82119316,0.293118812
6/3/00,102,1,16/6/00,42,60,1,17/4/00,Sports & Outdoor Media Intl,United Kingdom,Sportsworld Media Group PLC,United Kingdom,Completed,0.148692308,2.439,1,18.01571551,-0.181064468
14/3/00,176,1,6/9/00,118,58,1,10/7/00,Burmah Castrol PLC,United Kingdom,BP Amoco PLC,United Kingdom,Completed,0.032724933,3.632,1,21.87228603,0.132800862
14/3/00,94,1,16/6/00,56,38,1,9/5/00,Greenway Holdings PLC,United Kingdom,OSS Group Ltd,United Kingdom,Completed,0.012738938,1.098,0,16.90655301,0.203636364
15/3/00,-36600,0,,-36600,0,0,,Border Television PLC,United Kingdom,Scottish Radio Holdings PLC,United Kingdom,Withdrawn,0.017066879,17.303,1,16.93787548,0.218017621
16/3/00,33,1,18/4/00,22,11,1,7/4/00,Britannia Group PLC,United Kingdom,YJL PLC,United Kingdom,Completed,0.011641237,1.115,1,17.60423535,0.28780543
29/3/00,131,1,7/8/00,44,87,1,12/5/00,British Borneo Oil & Gas PLC,United Kingdom,Eni SpA,Italy,Completed,0.786940541,0.416,1,21.38492235,0.180082559
30/3/00,-36615,0,,-36615,0,0,,Wickes PLC,United Kingdom,Focus Do It All Group Ltd,United Kingdom,Withdrawn,0.014145695,2.468,1,19.52593758,0.279231788
31/3/00,70,1,9/6/00,40,30,1,10/5/00,Dorling Kindersley Holdings,United Kingdom,Pearson PLC,United Kingdom,Completed,0.018521417,5.154,1,19.2050388,0.2555089
31/3/00,81,1,20/6/00,45,36,1,15/5/00,Laser-Scan Holdings PLC,United Kingdom,Yeoman Group PLC,United Kingdom,Completed,0.000508065,12.188,0,15.25059508,0.120952381
3/4/00,59,1,1/6/00,58,1,1,31/5/00,Admiral PLC,United Kingdom,CMG PLC,United Kingdom,Completed,0.017275971,22.015,1,18.78879007,0.370415225
13/4/00,39,1,22/5/00,36,3,1,19/5/00,Border Television PLC,United Kingdom,Capital Radio PLC,United Kingdom,Completed,0.017066879,17.303,1,16.93787548,0.218017621
13/4/00,40,1,23/5/00,29,11,1,12/5/00,Romtec PLC,United Kingdom,Total Research Corp,United States,Completed,0.003510638,5.057,1,14.97866137,0.2790625
26/4/00,-36642,0,,-36642,0,0,,Charter PLC,United Kingdom,Lincoln Electric Holdings Inc,United States,Withdrawn,0.010938355,18.793,1,20.83274785,-0.006811867
26/4/00,-36642,0,,-36642,0,0,,Charter PLC,United Kingdom,Lincoln Electric Holdings Inc,United States,Withdrawn,0.010938355,18.793,1,20.83274785,-0.006811867
